run  |     start time      |      end time       | length (min)
5408 | 2019-12-12 22:43:52 | 2019-12-12 23:19:43 | 95.8500 
5409 | 2019-12-12 23:20:40 | 2019-12-12 23:35:37 | 14.9500 
5439 | 2019-12-13 23:49:34 | 2019-12-14 00:17:27 | 27.8833 
5440 | 2019-12-14 00:21:10 | 2019-12-14 01:28:58 | 67.8000 
5441 | 2019-12-14 01:31:34 | 2019-12-14 02:45:37 | 74.0500 
5442 | 2019-12-14 02:46:56 | 2019-12-14 03:55:36 | 68.6667 
5443 | 2019-12-14 03:57:29 | 2019-12-14 05:08:02 | 70.5500 
5444 | 2019-12-14 05:08:42 | 2019-12-14 06:18:10 | 69.4667 
5445 | 2019-12-14 06:18:58 | 2019-12-14 07:28:38 | 69.6667 
5446 | 2019-12-14 07:29:24 | 2019-12-14 08:39:42 | 70.3000 
5447 | 2019-12-14 08:46:57 | 2019-12-14 09:57:00 | 70.0500 
5448 | 2019-12-14 09:58:05 | 2019-12-14 10:14:03 | 15.9667 
5449 | 2019-12-14 10:15:48 | 2019-12-14 11:25:43 | 69.9167 
5450 | 2019-12-14 11:26:18 | 2019-12-14 12:33:44 | 67.4333 
5451 | 2019-12-14 12:37:44 | 2019-12-14 13:47:20 | 69.6000 
5452 | 2019-12-14 14:16:16 | 2019-12-14 14:40:26 | 24.1667 
5453 | 2019-12-14 14:41:41 | 2019-12-14 15:08:08 | 26.4500 
5454 | 2019-12-14 15:47:25 | 2019-12-14 16:56:29 | 69.0667 
5455 | 2019-12-14 16:59:16 | 2019-12-14 18:07:21 | 68.0833 
5456 | 2019-12-14 18:08:35 | 2019-12-14 19:18:15 | 69.6667 
5457 | 2019-12-14 19:18:52 | 2019-12-14 20:29:59 | 71.1167 
5458 | 2019-12-14 20:30:50 | 2019-12-14 21:42:57 | 72.1167 
5459 | 2019-12-14 21:44:11 | 2019-12-14 22:53:47 | 69.6000 
5460 | 2019-12-14 23:04:30 | 2019-12-15 00:14:11 | 69.6833 
5461 | 2019-12-15 00:14:47 | 2019-12-15 01:23:26 | 68.6500 
5462 | 2019-12-15 01:27:07 | 2019-12-15 02:37:51 | 70.7333 
5463 | 2019-12-15 02:39:52 | 2019-12-15 03:49:31 | 69.6500 
